영어,Day,형용사,동사,명사,전치사,부사
electron,20,,,전자,,
resist,20,,"저항하다, 견디다, 반대하다",,,
random,21,"무작위적인, 닥치는 대로의",,,,
metaphor,21,,,은유,,
yawn,21,,"하품하다, 딱 벌어져 있다 ",하품,,
edit,21,,편집하다,,,
dip,21,,"담그다, (부분적으로) 살펴보다 (",,,
quantity,21,,,"수량, 양",,
arithmetic,21,"산술의, 산수의 ",,"산술, 산수",,
instance,21,,예로 들다,"사례, 예 ",,
specific,21,"구체적인, 특정한",,,,
compensate,21,,"벌충하다, 보상하다",,,
umpire,21,,심판을 보다,심판 ,,
contemporary,21,"현대적인, 현대의, 동시대의",,,,
landmark,21,,,"역사적 건물, 역사적 장소",,
reference,21,,참조 문헌을 달다,"참고 문헌, 참고, 참조 ",,
alternative,21,"대체의, 대안의, 양자택일의",,"대안, 양자택일 ",,
arrival,21,,,"도착, 도래",,
relocate,21,,이주하다,,,
transmission,21,,,"전파, 전송, 전염",,
diffusion,21,,,"전파, 확산, 유포",,
medication,21,,,"약, 약물, 약물 치료",,
spirituality,21,,,"영성, 정신성",,
parallel,21,"유사한, 평행의",,"유사성, 평행 ",,
subjective,21,주관적인,,,,
molecule,21,,,분자,,
classify,21,,"분류하다, 구분하다",,,
storage,21,,,"수납, 저장",,
comply,21,,"(법·명령·요청 등을) 따르다, 동의하다",,,
deforestation,21,,,산림 벌채,,
offset,21,,상쇄하다,,,
renew,21,,"갱신하다, 재개하다",,,
inject,22,,주입하다,,,
flat,22,편평한 ,,평지,,
encounter,22,,"접하다, 마주치다",,,
resemblance,22,,,"닮음, 유사성",,
undermine,22,,"저해하다, 약화시키다",,,
clue,22,,,단서,,
escalate,22,,"격화되다, 확대하다, 상승하다",,,
reaction,22,,,반응,,
norm,22,,,규범,,
likelihood,22,,,가능성,,
keen,22,"예리한, 열렬한",,,,
dominate,22,,지배하다,,,
formation,22,,,"형성, 대형",,
bureaucracy,22,,,"관료제, 관료주의",,
primary,22,"주요한, 주된, 기본적인",,,,
disruptive,22,"방해가 되는, 파괴적인",,,,
demanding,22,"부담되는, 요구가 까다로운",,,,
adjust,22,,"조정하다, 바로잡다",,,
demand,22,,"필요로 하다, 요구하다",,,
profit,22,,,"수익, 영리",,
recognize,22,,인식하다,,,
experiment,22,,실험하다,실험 ,,
vividly,22,,,,,생생하게
variable,22,,,변수,,
hypothesis,22,,,가설,,
prejudice,22,,,편견,,
assume,22,,"가정하다, 추정하다",,,
arbitrary,22,자의적인,,,,
flexibility,22,,,유연성,,
fluent,22,유창한,,,,
extensive,23,"폭넓은, 광범위한",,,,
concrete,23,구체적인,,,,
confines,23,,,"범위, 제한",,
exploit,23,,"이용하다, 착취하다",,,
claw,23,,,발톱,,
decline,23,,"감소하다, 쇠퇴하다",쇠퇴 ,,
sustainability,23,,,지속 가능성,,
retain,23,,"유지하다, 보유하다",,,
relevance,23,,,"적절성, 관련, 유의미함",,
intervention,23,,,개입,,
habitat,23,,,서식지,,
agent,23,,,"주체, 요원, 행위자",,
underestimate,23,,과소평가하다,,,
misleading,23,오해의 소지가 있는,,,,
criterion,23,,,기준,,
adversary,23,,,"상대, 적",,
withdraw,23,,"물러나다, 철수하다",,,
domestic,23,"가정의, 집안의, 국내의",,,,
elaborate,23,정교한,정교하게 만들다 ,,,
physical,23,"물리적인, 신체의",,,,
boundary,23,,,경계,,
allocate,23,,할당하다,,,
erosive,23,"침식성의, 부식성의",,,,
peer,23,,,동료,,
symptom,23,,,증상,,
overstate,23,,과장하다,,,
compromise,23,,"훼손하다, 타협하다",,,
pitfall,23,,,함정,,
income,23,,,"수입, 소득",,
statement,23,,,"발언, 진술",,
reveal,24,,드러내다,,,
disclose,24,,밝히다,,,
commitment,24,,,"전념, 헌신",,
deviate,24,,벗어나다,,,
legislator,24,,,입법자,,
controversial,24,논란이 많은,,,,
violate,24,,"위반하다, 침범하다",,,
extend,24,,확장하다,,,
opportunity,24,,,기회,,
converge,24,,수렴하다,,,
deceive,24,,"속이다, 속다",,,
shade,24,,그늘지게 하다,그늘 ,,
anonymous,24,익명의,,,,
bluntly,24,,,,,직설적으로
constructive,24,"건설적인, 구성적인",,,,
further,24,,발전시키다 ,,,더 (멀리)
accountability,24,,,책임,,
occasion,24,,,"경우, 때",,
worthwhile,24,"가치 있는, 상당한",,,,
export,24,,수출하다 ,수출,,
scarcity,24,,,"희소성, 결핍",,
lifespan,24,,,수명,,
counteract,24,,대응하다,,,
informal,24,"비공식적인, 격식에 얽매이지 않는",,,,
involuntary,24,"자기도 모르게 나오는, 무의식적인",,,,
absolute,24,절대적인,,,,
rapid,24,"신속한, 급속한",,,,
tremendous,24,엄청난,,,,
partial,24,부분적인,,,,
comprise,24,,"구성하다, ~으로 구성되다",,,
utterance,25,,,발화,,
perceptual,25,"지각의, 지각이 있는",,,,
compelling,25,"강력한, 설득력 있는",,,,
claim,25,,주장하다,주장 ,,
render,25,,"만들다, 주다",,,
flawless,25,"완벽한, 흠 하나 없는",,,,
scrutinize,25,,"세심히 살피다, 면밀히 검토하다",,,
entail,25,,수반하다,,,
flock,25,,,무리,,
evade,25,,피하다,,,
responsive,25,"민감하게 반응하는, 관심을 보이는",,,,
probability,25,,,확률,,
opaque,25,불투명한,,,,
ritual,25,,,의식,,
transformation,25,,,"전환, 변형",,
intelligent,25,"똑똑한, 영리한",,,,
entrepreneurship,25,,,기업가 정신,,
probe,25,,"조사하다, 탐구하다",,,
hallmark,25,,,특징,,
substantial,25,"상당한, 본질적인",,,,
reciprocity,25,,,"상호주의, 호혜(주의)",,
hamper,25,,방해하다,,,
proximate,25,"가장 가까운, 가장 직접적인",,,,
warrant,25,,보장하다,,,
adolescent,25,청소년기의 ,,청소년,,
aspiration,25,,,열망,,
devote,25,,"(노력·시간 등을) 기울이다, 전념하다",,,
spring,25,,떠오르다 ,"샘, 온천, 봄",,
respect,25,,,"점, (측)면, 사항, 존중",,
anxiety,25,,,불안,,
plausible,26,"그럴듯한, 타당한 것 같은",,,,
opponent,26,,,"대항팀, 상대",,
revenue,26,,,수입,,
optimal,26,최적의,,,,
geological,26,"지질학의, 지질학적인",,,,
reside,26,,"존재하다, 살다",,,
planetary,26,"지구상의, 행성의",,,,
replicate,26,,"재현하다, 모사하다",,,
note,26,,"주목하다, 언급하다","음표, 메모, 쪽지 ",,
reconcile,26,,"조화시키다, 화해시키다",,,
prospective,26,"미래를 내다보는, 장래의, 선견지명이 있는",,,,
benefit,26,,~에게 이롭다 ,"혜택, 이익",,
rot,26,,"썩다, 부식하다 ","썩음, 부패",,
liberate,26,,"빠져나오게 하다, 벗어나게 하다, 자유롭게 하다",,,
vegetation,26,,,"식물, 초목",,
mold,26,,"만들다, 형성하다",,,
accumulate,26,,"누적하다, 축적하다",,,
sibling,26,,,"형제자매, 동기",,
overall,26,"전체적인, 전반적인",,,,
compete,26,,경쟁하다,,,
coincide,26,,"일치하다, 맞물려 일어나다, 동시에 일어나다",,,
evaporate,26,,"증발시키다, 증발하다",,,
immediate,26,"주변의, 즉각적인",,,,
undergo,26,,"겪다, 받다",,,
vestige,26,,,"흔적, 자취",,
external,26,외부의,,,,
undertake,26,,"맡다, 수행하다, 착수하다",,,
provoke,26,,"유발하다, 초래하다",,,
bypass,26,,"무시하다, 간과하다, 우회하다 ",우회 도로,,
contain,26,,"함유하다, 포함하다",,,
tricky,27,"까다로운, 힘든",,,,
odds,27,,,"가능성, 확률",,
accurate,27,정확한,,,,
instant,27,"즉각적인, 인스턴트의",,,,
financial,27,"재정적, 금융의",,,,
skepticism,27,,,"회의적인 태도, 회의론",,
accomplish,27,,"수행하다, 해내다, 성취하다",,,
execute,27,,"수행하다, 실행하다, 처형하다",,,
capability,27,,,능력,,
challenge,27,,"이의를 제기하다, 도전하다","난제, 과제, 어려움 ",,
provide,27,,"제공하다, 얻다",,,
evidence,27,,,증거,,
crust,27,,,"지각(地殼), 껍질",,
ore,27,,,"광물, 광석",,
underlying,27,"근본적인, 기초의",,,,
psychiatry,27,,,정신 의학,,
threatening,27,"위협적인, 협박하는",,,,
advent,27,,,"출현, 등장",,
profound,27,"엄청난, 심오한",,,,
constraint,27,,,"제약, 제한",,
onwards,27,,,,,"계속하여, 줄곧"
wealthy,27,부유한,,,,
spectator,27,,,"관중, 관객",,
apparent,27,"~인 것처럼 보이는, 명백한, 분명한",,,,
injury,27,,,부상,,
fatality,27,,,"사망자(수), 치사율",,
attempt,27,,시도하다 ,시도,,
commonsense,27,"상식적인, 상식이 있는",,,,
obvious,27,명백한,,,,
inborn,27,타고난,,,,
initiate,28,,"일으키다, 시작하다",,,
dynamics,28,,,"역학 관계, 역학",,
post,28,,게시하다 ,게시글,,
ponder,28,,숙고하다,,,
chat,28,,대화를 나누다 ,"대화, 담소",,
discern,28,,"식별하다, 알아차리다",,,
dismissive,28,무시하는,,,,
timely,28,시기적절한,,,,
devise,28,,"(계획을) 세우다, 고안하다",,,
gut,28,,,"직감, 본능, 장",,
significant,28,"중요한, 상당한, 의미심장한",,,,
depression,28,,,"우울증, 우울함",,
invariably,28,,,,,"항상, 언제나"
inquiry,28,,,"탐구, 질문",,
pursue,28,,"추구하다, 밀고 나가다",,,
ancient,28,고대의,,,,
dorm,28,,,기숙사 (= ,,
deserve,28,,"(~을 누릴) 자격이 있다, 받을 만하다",,,
humanity,28,,,"인류, 인간성",,
predict,28,,예측하다,,,
precision,28,,,정확성,,
stubborn,28,"다루기 힘든, 고집스러운",,,,
prefer,28,,"선호하다, ~을 더 좋아하다",,,
contrast,28,,"대조하다, 대비시키다","대비, 대조 ",,
condition,28,,,"상황, 상태, 환경",,
discover,28,,발견하다,,,
satellite,28,,,"위성, 인공위성",,
imply,28,,"암시하다, 함축하다, 의미하다",,,
species,28,,,종(種),,
urban,28,"도시의, 도회지의",,,,
metabolize,29,,"(신진)대사시키다, (신진)대사하다",,,
protein,29,,,단백질,,
intact,29,"온전한, 전혀 다치지 않은",,,,
sentiment,29,,,"정서, 감상, 감정",,
component,29,,,"요소, 부품",,
element,29,,,"요소, 성분",,
fossil,29,,,화석,,
prevent,29,,막다,,,
reasonable,29,"상당한, 합리적인, 타당한",,,,
ignore,29,,"무시하다, 간과하다",,,
reward,29,,보상하다 ,보상,,
surge,29,,"급증하다, 급등하다, 밀려들다 ","급증, 급등",,
intuition,29,,,"직관, 직감",,
evoke,29,,"불러일으키다, 떠올려 주다",,,
distinguish,29,,"구별하다, 차이를 보이다",,,
pity,29,,,"연민, 동정",,
belong,29,,"소속되다, 속하다",,,
sensible,29,"분별 있는, 합리적인",,,,
dignity,29,,,존엄성,,
shield,29,,보호하다 ,방패,,
detrimental,29,해로운,,,,
athlete,29,,,(운동)선수,,
average,29,평균의 ,평균을 내다,평균 ,,
die,29,,죽다,주사위 (= ,,
verbal,29,"언어의, 구두의, 말에 의한",,,,
identical,29,"동일한, 똑같은",,,,
decision,29,,,"판단, 결정",,
trustworthy,29,"신뢰할 만한, 믿을 수 있는",,,,
fame,29,,,명성,,
neighbor,29,,,이웃,,
vulnerable,30,취약한,,,,
ecosystem,30,,,생태계,,
environmental,30,환경적인,,,,
dependent,30,의존하는,,,,
consider,30,,"생각하다, 고려하다",,,
govern,30,,"지배하다, 통치하다",,,
behave,30,,"작동하다, 행동하다",,,
reliable,30,"신뢰할 수 있는, 믿을 만한",,,,
operate,30,,"작동하다, 운용하다, 수술하다",,,
mature,30,"어른스러운, 성숙한","성숙해지다, 발달하다 ",,,
instinctive,30,본능적인,,,,
stability,30,,,"안정성, 안정",,
pioneering,30,"선구적인, 개척적인",,,,
prescription,30,,,"규칙, 처방",,
implicit,30,"암묵적인, 함축적인",,,,
article,30,,,"기사, 글",,
delicate,30,"섬세한, 연약한, 여린",,,,
immigrate,30,,"이주하다, 이주해 오다",,,
prosper,30,,"성공하다, 번영하다, 번성하다",,,
firm,30,"단단한, 확고한",,"회사, 기업 ",,
classical,30,"전형적인, 고전의, 클래식의",,,,
superficial,30,"피상적인, 깊이 없는, 얄팍한",,,,
explicit,30,"명시적인, 분명한",,,,
retention,30,,,"기억, 유지",,
forager,30,,,수렵 채집인,,
nuisance,30,,,"골칫거리, 성가신 일",,
severely,30,,,,,심각하게
disaster,30,,,"재해, 재앙, 재난",,
commercial,30,"상업용의, 상업의",,,,
peasant,30,농민의,,"농민, 소작농 ",,
livestock,31,,,가축,,
correlation,31,,,상관관계,,
disposition,31,,,"성향, 기질",,
clever,31,"재치 있는, 영리한, 똑똑한",,,,
analogy,31,,,"비유, 유사점",,
crop,31,,,"작물, 수확량",,
nutrient,31,,,"영양소, 영양분",,
nitrogen,31,,,질소,,
population,31,,,"인구, 주민",,
ensure,31,,보장하다,,,
suspicious,31,"수상쩍은, 의심스러운",,,,
reception,31,,,"접수처, 리셉션[축하 연회]",,
protection,31,,,보호,,
encourage,31,,"장려하다, 격려하다, 권장하다",,,
substitute,31,,대체하다 ,"대체물, 대리자",,
seemingly,31,,,,,"겉보기에는, 외견상으로"
blood,31,,,"피, 혈액",,
breathe,31,,호흡하다,,,
concentration,31,,,"농도, 집중",,
highlight,31,,강조하다 ,"가장 좋은 부분, 하이라이트",,
enforce,31,,"시행하다, 집행하다",,,
transportation,31,,,"교통, 교통수단",,
hire,31,,"고용하다, 대여하다",대여 ,,
track,31,,추적하다 ,"육상, 길",,
designated,31,지정된,,,,
paradox,31,,,역설,,
evolution,31,,,진화,,
ape,31,,,유인원,,
statistics,31,,,"통계 (자료), 통계학",,
manuscript,31,,,원고,,
content,32,,,"콘텐츠, 내용(물)",,
incidental,32,"우연한, 부수적인",,,,
theory,32,,,"이론, 학설",,
principle,32,,,"원칙, 원리",,
insincere,32,불성실한,,,,
immense,32,엄청난,,,,
invoke,32,,"언급하다, 떠올리다, 적용하다",,,
slot,32,,,"시간대, 자리, 구멍",,
upset,32,속상한 ,속상하게 만들다,"혼란 상태, 당황함 ",,
awake,32,깨어 있는 ,깨우다,,,
matter,32,,중요하다 ,"문제, 상황",,
meaningful,32,"유의미한, 중요한",,,,
reserve,32,,"따로 잡아 두다, 예약하다",,,
manipulation,32,,,조작,,
latitude,32,,,위도,,
fine,32,"세밀한, 미세한, 질 높은, 좋은 ",,벌금,,
isolate,32,,"격리하다, 고립시키다",,,
retreat,32,,"물러나다, 후퇴하다 ","휴양지, 후퇴, 도피",,
deprive,32,,"앗아 가다, 빼앗다",,,
pretend,32,,"(사실이 아닌 것을) 주장하다, ~하는 흉내를 내다",,,
ratio,32,,,비율,,
attend,32,,"다니다, 참석하다",,,
poet,32,,,시인,,
accompany,32,,"동행하다, 수반하다",,,
nonprofit,32,비영리의 ,,비영리 단체,,
formal,32,"공식적인, 공적인, 정규의",,,,
enact,32,,"구현하다, 행하다, 규정하다",,,
flip,32,,"던지다, 뒤집다",,,
bet,32,,"장담하다, 돈을 걸다",내기 ,,
predator,32,,,포식자,,
captivity,33,,,"우리, 감금",,
nonsense,33,"무의미한, 말도 안 되는 ",,터무니없는 생각[말],,
remind,33,,"상기시키다, 생각나게 하다",,,
recall,33,,"기억해 내다, 상기하다",,,
vowel,33,,,모음,,
arrangement,33,,,"배치[배열], 타협[협정], 마련",,
exact,33,정확한,,,,
identify,33,,"동일시하다, 확인하다, 파악[식별]하다",,,
necessary,33,필요한,,,,
overlapping,33,"겹치는, 중복된",,,,
practical,33,"실제적인, 실용적인",,,,
practice,33,,,"관례, 관행, 실행, 연습",,
decade,33,,,10년,,
draw,33,,"도출하다, 끌다, 뽑아내다, 그리다 ","추첨, 무승부",,
sequence,33,,"(유전자・분자의) 배열 순서를 밝히다, 배열하다 ","순서, 차례",,
flooding,33,,,"범람, 홍수",,
growth,33,,,"증가, 성장",,
lead,33,,"이끌다, 안내하다 ","지도, 인도",,
combat,33,,싸우다,전투 ,,
exercise,33,,"운동하다, 발휘하다 ",운동,,
regular,33,"규칙적인, 정기적인",,,,
organism,33,,,유기체,,
fairly,33,,,,,"꽤, 상당히, 타당하게"
efficacy,33,,,"효능감, 효능",,
boost,33,,"증진하다, 높이다",,,
seek,33,,"추구하다, 찾다",,,
retrace,33,,"되짚어가다, 추적하다",,,
keystone,33,,,"쐐기돌, 핵심",,
swell,33,,"부풀어 오르다, 벅차오르다",,,
scatter,33,,"흩어지게 하다, 흩뿌리다",,,
responsibility,34,,,"책임, 책무",,
convenience,34,,,"편리, 편의",,
request,34,,요청하다,"요청, 요구 ",,
surgery,34,,,"수술실, 수술",,
eternity,34,,,"영원, 오랜 시간",,
jargon,34,,,"(특정 집단 내의) 전문어, 용어",,
terminology,34,,,용어,,
discipline,34,,,"학문 분야, 훈육, 규율",,
trajectory,34,,,궤도,,
circumstance,34,,,"환경, (주로 복수로) 상황",,
arena,34,,,"분야, 무대, (원형) 경기장",,
manipulate,34,,"솜씨 있게 처리하다, 다루다, 조작하다",,,
aroma,34,,,"향기, 향",,
sweetener,34,,,감미료,,
assess,34,,"평가하다, 재다",,,
bizarre,34,"기이한, 특이한",,,,
respondent,34,,,응답자,,
proportion,34,,,"비율, 부분",,
merchant,34,,,상인,,
moisture,34,,,습기,,
automatically,34,,,,,자동으로
enrich,34,,"풍요롭게 하다, 부유하게 하다",,,
cultivate,34,,"키우다, 구축하다, 경작하다",,,
account,34,,"설명하다, 원인이 되다","계정, 계좌, 장부 ",,
variety,34,,,"다양성, 여러 가지, 품종",,
sermon,34,,,설교,,
rational,34,"합리적인, 이성적인",,,,
disproportionate,34,"불균형적인, 균형이 안 맞는",,,,
exaggerate,34,,"더 두드러지게 하다, 과장하다",,,
irrelevant,34,"무관한, 상관없는",,,,
manifest,35,분명한,"나타내다, 표현하다 ",,,
traumatic,35,"(정신적) 외상의, 매우 충격적인",,,,
maladaptive,35,"부적응적인, 순응성이 없는",,,,
vigiliance,35,,,"경계, 조심",,
sophisticated,35,"정교한, 세련된",,,,
judge,35,,"판단하다, 평가하다 ",판사,,
alert,35,"경계하는, 기민한","경고하다, 알리다 ",,,
collision,35,,,"충돌, 대립",,
present,35,"현재의, 있는, 존재하는, 참석한 ","제공하다, 발표하다 ",선물,,
cell,35,,,"세포, 감방",,
persist,35,,"지속되다, 계속되다",,,
sustain,35,,"유지하다, 지탱하다",,,
approach,35,,"접근하다, 다가가다[오다] ","접근 방식, 접근(법)",,
recite,35,,"암송하다, 낭독하다",,,
reproduce,35,,"재생하다, 재생산하다, 복사[복제]하다, 번식하다",,,
psychological,35,심리적인,,,,
perception,35,,,"인식, 자각",,
realm,35,,,영역,,
sensory,35,"감각적인, 감각의",,,,
continuum,35,,,연속체,,
neuron,35,,,"뉴런, 신경 세포",,
input,35,,,"입력, 투입(량)",,
correspond,35,,"일치하다, 상응하다, 편지를 주고받다",,,
proponent,35,,,"지지자, 옹호자",,
restore,35,,"회복시키다, 복원하다",,,
preparation,35,,,"준비, 대비",,
spur,35,,"불러일으키다, 자극하다, 박차를 가하다 ","자극, 박차, 원동력",,
enlist,35,,"입대하다, 징집하다, (협조·참여를) 요청하(여 얻)다",,,
reduction,35,,,"감소, 축소, 삭감",,
climatologist,35,,,"기후학자, 풍토학자",,
precipitation,36,,,강수량,,
arid,36,"메마른, 무미건조한",,,,
frost,36,,,"서리, 성에",,
presentation,36,,,"발표, 제시",,
interaction,36,,,상호 작용,,
foster,36,,"촉진하다, 북돋다, 조성하다",,,
refrain,36,,"자제하다, 삼가다",,,
instructional,36,교육의,,,,
academic,36,"학업의, 학문의",,,,
pedagogical,36,"교육의, 교육적인, 교육학의",,,,
crystal-clear,36,"아주 명료한, 명백한",,,,
structure,36,,,구조,,
section,36,,,"섹션, 일부, 구역",,
general,36,일반적인,,,,
mechanical,36,기계적인,,,,
oddly,36,,,,,"이상하게, 기이하게"
anthropologist,36,,,인류학자,,
private,36,"개인의, 개인 소유의, 사유의",,,,
entitle,36,,권리[자격]를 주다,,,
insane,36,"제정신이 아닌, 정신 나간",,,,
breakdown,36,,,"실패, (차량·기계의) 고장, 와해",,
soar,36,,"날아오르다, 급증[급등]하다, 치솟다",,,
discourage,36,,"낙담시키다, 억제하다",,,
landslide,36,,,산사태,,
obstacle,36,,,"장애물, 걸림돌",,
fulfill,36,,"이루다, 달성하다, 충족시키다",,,
determine,36,,"결심하게 하다, 결정하다",,,
challenging,36,"어려운, 힘든, 도전적인",,,,
guardian,36,,,"후견인, 보호자, 수호자",,
patience,36,,,인내(심),,
issue,37,,"발령하다, 공표하다 ","문제, 주제, 쟁점, 사안",,
concern,37,,"우려하게 만들다, 흥미를 갖다","우려, 걱정, 관심(사) ",,
principal,37,주요한,,교장 ,,
ruin,37,,"망치다, 파멸시키다 ","(주로 복수로) 유적, 폐허",,
inconsiderate,37,사려 깊지 못한,,,,
shrug,37,,어깨를 으쓱하다 ,어깨를 으쓱하기,,
squeeze,37,,"꼭 잡다, 짜다 ","꽉 쥐기, 짜기",,
singular,37,"단일한, 단수형의, 뛰어난 ",,단수형,,
credit,37,,,"공로, 학점, 신용",,
exclusively,37,,,,,"전적으로, 독점적으로"
falsified,37,"거짓의, 위조된",,,,
politician,37,,,"정치인, 정치가",,
assertion,37,,,"주장, (권리 등의) 행사",,
blur,37,,"흐릿해지다, 흐릿하게 하다",,,
ignite,37,,"불을 붙이다, 촉발하다, (감정을) 불러일으키다",,,
ambiguity,37,,,"모호함, 애매함",,
process,37,,처리하다,"과정, 공정, 진행 ",,
mindset,37,,,(흔히 바꾸기 힘든) 사고방식,,
antipathy,37,,,(강한) 반감,,
conviction,37,,,"확신, 유죄 판결, 신념",,
critical,37,"(매우) 중요한, 비판적인",,,,
outperform,37,,"~보다 뛰어나다, 능가하다",,,
omission,37,,,"생략, 누락, 빠짐",,
embrace,37,,"수용하다, 받아들이다",,,
mediate,37,,"전달하다, 중재[조정]하다",,,
enthusiast,37,,,"열정적인 사람, ~광",,
parameter,37,,,"(보통 복수로) 특성, 매개 변수, 한계",,
democracy,37,,,"민주주의, 민주 국가, 평등",,
retire,37,,"은퇴하다, 자리를 뜨다",,,
diagnose,37,,(질병·문제의 원인을) 진단하다,,,
polar,38,극지방의,,,,
unforgettable,38,잊을 수 없는,,,,
facility,38,,,"시설, 설비",,
compartment,38,,,"통, 칸, (칸막이가 있는) 객실",,
trait,38,,,"특성, 특색",,
standardized,38,표준화된,,,,
temperament,38,,,"기질, 괴팍함",,
treat,38,,"취급하다, 다루다, 치료하다",,,
regard,38,,"간주하다, 여기다 ","높은 평가, 고려, 관심",,
retrieve,38,,"상기하다, 회수하다",,,
trap,38,,"가두다, 끼이다","덫, 올가미, 함정 ",,
expend,38,,"(돈·시간·에너지를) 소비하다, 들이다, 쏟다",,,
sequential,38,"연속적인, 순차적인",,,,
threshold,38,,,"임계치, 문턱, 문지방",,
encode,38,,"암호화하다, 부호화하다",,,
cognition,38,,,"인지, 인식",,
guarantee,38,,"보장하다, 장담하다","보장(하는 것), 보증서 ",,
consistent,38,"일치하는, 일관된",,,,
inherent,38,"본질적인, 고유한",,,,
ancestor,38,,,"조상, 선조",,
intention,38,,,"목적, 의도, 의사",,
scent,38,,,"향기, 향내",,
offspring,38,,,"새끼, 자식",,
spatial,38,"공간의, 공간적인, 공간에 존재하는",,,,
directly,38,,,,,"직접적으로, 곧장, 똑바로"
condiment,38,,,"조미료, 양념",,
tough,38,"힘든, 어려운, 강인한",,,,
enterprise,38,,,기업,,
competitor,38,,,"경쟁자, (시합) 참가자",,
recession,38,,,"불황, 불경기",,
relief,39,,,"안도, 안심",,
share,39,,"공유하다, 나누다","점유율, 몫 ",,
vehicle,39,,,"차량, (감정 표현·목표 달성 등의) 수단[도구]",,
autonomous,39,자율적인,,,,
lengthy,39,"너무 긴, 장황한, 지루한",,,,
mimic,39,,"모방하다, 흉내를 내다",,,
policy,39,,,"정책, 방침",,
immigrant,39,,,(다른 나라로 온) 이민자[이주민],,
ethnic,39,"민족의, 인종의",,,,
predominate,39,,"지배하다, 우위를 차지하다",,,
indigenous,39,(어떤 지역) 토착의[원산의],,,,
interchangeably,39,,,,,"상호 호환적으로, 서로 바꿔서, 교대로"
pessimistic,39,비관적인,,,,
tangible,39,"유형(有形)의, 분명히 실재하는, 만질 수 있는",,,,
quote,39,,인용하다,,,
copyright,39,,,"저작권, 판권",,
qualify,39,,자격을 얻다,,,
eligible,39,"자격이 있는, 적임의, 적당한",,,,
lyric,39,,,"가사, 노랫말",,
indicate,39,,"나타내다, 시사하다",,,
spontaneously,39,,,,,"자연스럽게, 자발적으로"
display,39,,"표시하다, 진열하다, 전시하다 ","전시, 표현",,
mammal,39,,,"포유류, 포유동물",,
scale,39,,"비례하다, 오르다, 비늘을 벗기다 ","규모, 비늘, 음계",,
miraculous,39,"놀랄 만한, 기적적인",,,,
sophomore,39,,,2학년생,,
confess,39,,"고백하다, 인정하다",,,
figure,39,,"생각하다, 판단하다, 계산하다 ","형상, 인물, 숫자",,
admire,39,,"감탄하다, 찬사를 보내다",,,
raw,39,"다듬어지지 않은, 가공되지 않은, 날것의",,,,
typical,40,"자주 사용되는, 전형적인",,,,
horror,40,,,"공포, 전율",,
discordant,40,"맞지 않는, 조화를 이루지 못하는",,,,
harsh,40,"거친, 가혹한",,,,
universe,40,,,"(경험) 세계, 우주",,
brave,40,"용기 있는, 용맹한",,,,
align,40,,"맞추다, 부합하게 하다",,,
achieve,40,,"이루다, 달성하다, 성취하다",,,
burnout,40,,,"극도의 피로, 탈진",,
ample,40,"충분한, 넉넉한",,,,
contrary,40,"반대되는, 어긋나는, 거꾸로의 ",,"반대, 반대되는 것",,
mantra,40,,,(기도나 명상을 할 때 외는) 주문,,
prophet,40,,,"예언자, 선지자",,
enslave,40,,"노예로 만들다, 노예가 되게 하다",,,
addiction,40,,,중독,,
scam,40,,"사기 치다, 속이다",(신용) 사기 ,,
source,40,,,"정보원, 원천, 근원",,
unbiased,40,"편견이 없는, 편파적이지 않은, 공정한",,,,
guess,40,,"추측하다, 짐작하다 ","추측, 짐작",,
exhibit,40,,"보이다, 전시하다 ","전시물, 전시",,
empathize,40,,공감하다,,,
indecisive,40,"우유부단한, 결단력이 없는",,,,
adept,40,능숙한,,,,
signal,40,,"신호하다, 신호를 주다",신호 ,,
boredom,40,,,"지루함, 따분함",,
contemplate,40,,"고찰하다, 눈여겨보다, 숙고하다",,,
puzzle,40,,"어리둥절하게 만들다, 당황하게 하다 ","퍼즐, 수수께끼 놀이, 당혹",,
manage,40,,"관리하다, 조종하다, 실현하다",,,
disease,40,,,"질병, 질환",,
persuade,40,,설득하다,,,
suffer,41,,"고통받다, (피해 등을) 입다, 겪다",,,
suburban,41,교외의,,,,
affluent,41,"부유한, 풍족한",,,,
agenda,41,,,"안건, 의제, 행동강령",,
handle,41,,"다루다, 처리하다 ","손잡이, 핸들",,
dignify,41,,"품위를 높이다, 품위 있어 보이게 하다",,,
fierce,41,"맹렬한, 격렬한, 사나운",,,,
sense,41,,"감지하다, 느끼다 ","감각, 느낌",,
integrity,41,,,"완전성, 무결성, 진실성",,
explode,41,,"폭발적으로 증가하다, 폭발하다",,,
deal,41,,"다루다, 처리하다, 거래하다 ","거래, 합의, 많음",,
impair,41,,손상시키다,,,
prioritize,41,,"우선시하다, 우선순위를 정하다",,,
crash,41,,"고장 나다, 충돌하다, 추락하다 ","(충돌·추락) 사고, 굉음, 급강하, 폭락",,
merge,41,,"통합하다, 합치다",,,
spread,41,,"확산하다, 퍼뜨리다 ","확산, 전파",,
recommendation,41,,,추천(서),,
prominent,41,"중요한, 두드러진, 저명한",,,,
rely,41,,"의존하다, 의지하다",,,
manifestation,41,,,"징후, 조짐",,
enemy,41,,,"적, 적군, 경쟁 상대",,
terrain,41,,,"지형, 지역, 여지",,
tribe,41,,,"부족, 집단",,
simplify,41,,단순화하다,,,
evident,41,"분명한, 명백한, 나타나는",,,,
